volume,code,rate,unit,source_page,description
vol1,4.9,929.80,each,207,Precasting and placing in position 125 mm dia Bollards 600 mm high of required s
vol1,4.9,900.15,each,207,A Precasting and placing in position 125 mm dia Bollards 600 mm high of required
vol1,4.9,878.90,each,209,B Precasting and placing in position 125 mm dia Bollards 600 mm high of required
vol2,26.42.1,3903.35,sqm,271,Providing and fixing of external wall system on Light gauge steel frame work wit
vol2,26.42.1,2901.80,sqm,271,Providing and fixing of external wall system on Light gauge steel frame work wit
vol2,26.50.1,1527.50,sqm,277,Providing and fixing in position factory made non asbestos fibre reinforced aera
vol2,26.50.1,1635.05,sqm,277,Providing and fixing in position factory made non asbestos fibre reinforced aera
vol2,26.50.1,2068.25,sqm,277,Providing and fixing in position factory made non asbestos fibre reinforced aera
vol2,26.50.2,1841.20,sqm,277,Providing and fixing in position factory made non asbestos fibre reinforced aera
vol2,26.50.2,1784.40,sqm,277,Providing and fixing in position factory made non asbestos fibre reinforced aera
vol2,26.50.2,2326.65,sqm,277,Providing and fixing in position factory made non asbestos fibre reinforced aera
